giftId,name,category,image,description,price,average_rating,link
1,Echo Dot (5th,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/518cRYanpbL._AC_UL300_SR300,200_.jpg","Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",27.99,4.7,https://www.amazon.com/All-New-release-Smart-speaker-Charcoal/dp/B09B8V1LZ3/ref=zg_mg_g_amazon-devices_d_sccl_1/142-5052663-6042538?psc=1
2,"Ring Video Doorbell,",Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/4119-JuzaLL._AC_UL300_SR300,200_.jpg","Ring Video Doorbell, Satin Nickel with All-new Ring Indoor Cam, White",99.99,4.6,https://www.amazon.com/Ring-Doorbell-Nickel-All-new-Indoor/dp/B0BRRRBM6D/ref=zg_mg_g_amazon-devices_d_sccl_2/142-5052663-6042538?psc=1
3,Echo Pop +,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/61i2rXhx6nL._AC_UL300_SR300,200_.jpg",Echo Pop + Alexa Emergency Assist Monthly (auto-renewal) | Full sound compact smart speaker | Charcoal,28.98,4.7,https://www.amazon.com/Emergency-Monthly-auto-renewal-compact-Charcoal/dp/B0CGTNQPHP/ref=zg_mg_g_amazon-devices_d_sccl_3/142-5052663-6042538?psc=1
4,Amazon Fire TV,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL300_SR300,200_.jpg","Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",39.99,4.7,https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_mg_g_amazon-devices_d_sccl_4/142-5052663-6042538?psc=1
5,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/51QCk82iGcL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",149.99,4.7,https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B09TMN58KL/ref=zg_mg_g_amazon-devices_d_sccl_5/142-5052663-6042538?psc=1
6,Amazon Kindle –,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/714brROA9eL._AC_UL300_SR300,200_.jpg","Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Black",99.99,4.6,https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/dp/B09SWW583J/ref=zg_mg_g_amazon-devices_d_sccl_6/142-5052663-6042538?psc=1
7,Amazon Fire TV,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41vhe0X8wbL._AC_UL300_SR300,200_.jpg","Amazon Fire TV Stick 4K streaming device with AI-recommended movies and shows, Wi-Fi 6, free & live TV",39.99,4.7,https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0BP9MDCQZ/ref=zg_mg_g_amazon-devices_d_sccl_7/142-5052663-6042538?psc=1
8,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/71IcVl9xbYL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Agave Green",149.99,4.7,https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B09TMZKQR7/ref=zg_mg_g_amazon-devices_d_sccl_8/142-5052663-6042538?psc=1
9,Echo Show 8,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/61GnWqn53BL._AC_UL300_SR300,200_.jpg","Echo Show 8 (3rd Gen, 2023 release) + Alexa Emergency Assist Monthly (auto-renewal) | With Spatial Audio and Smart Home Hub | Charcoal",149.99,4.6,https://www.amazon.com/release-Emergency-Monthly-auto-renewal-Charcoal/dp/B0CGT4WWLD/ref=zg_mg_g_amazon-devices_d_sccl_9/142-5052663-6042538?psc=1
10,Amazon 9W Official,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/81hss7SMd7L._AC_UL300_SR300,200_.jpg","Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",19.99,4.7,https://www.amazon.com/Amazon-Official-Charger-Adapter-eReaders/dp/B01I0IGFKC/ref=zg_mg_g_amazon-devices_d_sccl_10/142-5052663-6042538?psc=1
11,Blink Video Doorbell,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg","Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",59.99,4.3,https://www.amazon.com/Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_mg_g_amazon-devices_d_sccl_11/142-5052663-6042538?psc=1
12,Blink Mini –,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41UlY9ofudL._AC_UL300_SR300,200_.jpg","Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",29.99,4.4,https://www.amazon.com/Blink-Mini-Black-1Cam/dp/B09N6V1FHG/ref=zg_mg_g_amazon-devices_d_sccl_12/142-5052663-6042538?psc=1
13,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/71NRkZ933lL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Denim",149.99,4.7,https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B095J2XYWX/ref=zg_mg_g_amazon-devices_d_sccl_13/142-5052663-6042538?psc=1
14,Blink Outdoor 4,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41hbmiP+77L._AC_UL300_SR300,200_.jpg","Blink Outdoor 4 (4th Gen) — Wire-free smart security camera, two-year battery life, two-way audio, HD live view, enhanced motion detection, Works with Alexa – 1 camera system",89.99,4.2,https://www.amazon.com/Blink-Outdoor-4th-Gen-1-Camera/dp/B0B1N5HW22/ref=zg_mg_g_amazon-devices_d_sccl_14/142-5052663-6042538?psc=1
15,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/51N5CsWCIBL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life – Without Lockscreen Ads – Black",189.99,4.7,https://www.amazon.com/kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=zg_mg_g_amazon-devices_d_sccl_15/142-5052663-6042538?psc=1
